Symbol,National Common Name,Author,Family
0,0,1,0
1,1,0,0
1,2,1,0
2,2,2,0
3,3,0,0
3,3,1,0
4,4,3,0
5,5,4,0
6,6,4,0
6,6,5,0
6,6,6,0
6,6,2,0
6,6,2,0
6,7,7,0
7,7,8,0
8,8,9,0
8,8,2,0
8,9,10,0
9,9,8,0
10,10,11,0
10,10,7,0
11,11,11,0
12,12,12,0
12,12,13,0
13,13,14,0
14,14,15,0
14,14,16,0
15,15,17,0
15,15,18,0
15,15,19,0
15,15,2,0
16,16,20,0
16,16,1,0
16,19,0,0
17,17,21,0
18,18,13,0
19,19,24,0
20,20,22,0
21,20,23,0
21,20,24,0
21,20,25,0
21,20,26,0
21,21,27,0
22,21,18,0
22,21,18,0
22,22,28,0
23,22,24,0
24,23,29,1
25,24,25,2
26,25,1,2
27,25,30,2
27,25,31,2
27,25,32,2
28,25,33,2
28,25,34,2
28,25,35,2
28,26,36,2
29,26,37,2
29,26,38,2
29,26,39,2
29,25,31,2
30,27,40,2
31,27,41,2
31,26,42,2
31,27,43,2
31,28,44,2
32,28,45,2
32,28,46,2
32,28,47,2
32,29,48,2
32,29,49,2
32,30,50,2
33,29,51,2
34,30,52,2
35,29,53,2
35,30,54,2
35,30,55,2
35,30,56,2
35,31,57,2
36,31,58,3
37,32,51,3
38,32,59,3
38,32,60,3
38,32,61,3
38,32,62,3
39,32,63,3
40,33,64,3
40,33,65,3
41,31,65,3
42,34,66,3
42,34,67,3
43,35,68,3
44,36,69,3
45,35,70,3
45,36,71,3
46,37,72,3
47,38,68,3
48,39,68,3
49,40,1,3
50,39,73,3
50,40,74,3
50,40,75,3
50,40,76,3
50,42,77,3
51,41,78,3
52,42,68,3
53,42,79,3
54,43,80,3
55,44,81,3
56,44,82,3
56,44,83,3
57,44,84,3
58,45,85,3
58,45,86,3
58,45,87,3
58,46,88,3
59,46,68,3
60,47,89,3
60,47,90,3
60,47,91,3
61,46,92,3
62,48,93,3
62,47,90,3
63,49,74,3
64,50,94,3
64,48,95,3
64,48,96,3
64,48,97,3
64,49,1,3
64,49,98,3
64,49,99,3
64,49,100,3
64,50,101,3
64,50,102,3
64,50,103,3
64,50,104,3
64,52,105,3
64,52,106,3
64,52,107,3
64,52,108,3
65,51,109,3
66,51,110,3
66,52,111,3
67,52,112,3
